1 5459.32	82.07
2 5718.4	78.35
4 10751.4	41.68
6 15230.4	29.43
8 20264.1	22.12
10 25905.4	17.31
12 30527.3	14.69
14 35619.5	12.59
16 39170.1	11.45
18 43039.7	10.42
20 53562	8.37
22 51874.6	8.65
24 65105.3	6.89
