1 2 4 6 8 10 12 14 16 18 20 22 24
405.45 202.61 103.02 68.72 51.56 41.29 34.46 31.01 27.59 24.19 20.76 20.75 17.64
405.29 202.63 103.05 68.71 51.61 41.32 34.45 30.98 27.57 24.17 20.75 20.74 17.85
405.31 202.44 102.99 68.69 51.58 41.30 34.43 31.03 27.58 24.19 20.78 20.76 17.43
405.48 202.56 103.05 68.71 51.55 41.29 34.43 31.00 27.56 24.16 20.71 20.73 18.64
405.58 202.52 102.95 68.69 51.54 41.26 34.39 31.08 27.65 24.26 21.49 20.72 17.43
405.36 202.46 102.94 68.73 51.55 41.26 34.45 30.94 27.52 24.11 20.70 20.70 17.42
